Instituicao;Regiao;Periodo;Ano;Mes;Consumo_Carbapenemes;Populacao_Regiao;Total_Urgencias;Urgencias_Geral;Urgencias_Pediatricas;Urgencias_Obstetricia;Urgencias_Psiquiatrica;Total_Consultas;valor_base_sazonal;media_3m;media_6m;tendencia_mom;tendencia_yoy;indice_sazonal;forecast_hibrido;variacao_prevista_pct
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-01-01;2013;1;0.0;3213011.0;13727.0;8950.0;4064.0;713.0;0.0;23223.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-02-01;2013;2;0.0;3213011.0;25587.0;17148.0;7243.0;1196.0;0.0;43531.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-03-01;2013;3;0.0;3213011.0;37351.0;25525.0;10053.0;1773.0;0.0;63622.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-04-01;2013;4;0.0;3213011.0;48856.0;33526.0;13051.0;2279.0;0.0;85130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-05-01;2013;5;0.0;3213011.0;61226.0;42012.0;16288.0;2926.0;0.0;108222.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-06-01;2013;6;0.0;3213011.0;73303.0;49985.0;19795.0;3523.0;0.0;125660.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-07-01;2013;7;0.0;3213011.0;86434.0;59390.0;22890.0;4154.0;0.0;148904.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-08-01;2013;8;0.0;3213011.0;98559.0;68518.0;25222.0;4819.0;0.0;163558.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-09-01;2013;9;0.0;3213011.0;110343.0;76948.0;27936.0;5459.0;0.0;184697.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-10-01;2013;10;0.0;3213011.0;122945.0;85587.0;31321.0;6037.0;0.0;208196.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-11-01;2013;11;0.0;3213011.0;134805.0;93728.0;34550.0;6527.0;0.0;230478.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2013-12-01;2013;12;0.0;3213011.0;147609.0;102386.0;38125.0;7098.0;0.0;250211.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-01-01;2014;1;0.0;3194655.0;14180.0;9653.0;3937.0;590.0;0.0;22889.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-02-01;2014;2;0.0;3194655.0;25154.0;17215.0;6859.0;1080.0;0.0;43781.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-03-01;2014;3;0.0;3194655.0;37276.0;25654.0;9951.0;1671.0;0.0;66577.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
